Title,Description,URL
Cats,"Cats
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : tinted lithograph ; sheet 48.5 x 57.3 cm. | Print shows the faces and front paws of two sleeping cats.
                        
                    
                

            
        
        


Contributor:

                        Hunter, Thomas - Hunter, Thomas, Approximately 1828-Approximately 1894
                        


Date:
: 1874",https://www.loc.gov/item/2004670356/
[Cat],"[Cat]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 drawing : ink and watercolor. | Ukiyo-e drawing showing a cat.
                        
                    
                

            
        
        


Contributor:

                        Andō, Hiroshige
                        


Date:
: 1840",https://www.loc.gov/item/2005678556/
[Cats],"[Cats]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 negative : glass ; 4 x 5 in. or smaller
                        
                    
                

            
        
        


Contributor:

                        Harris & Ewing
                        


Date:
: 1923",https://www.loc.gov/item/2016892680/
[Cats],"[Cats]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 negative : glass ; 4 x 5 in. or smaller
                        
                    
                

            
        
        


Contributor:

                        Harris & Ewing
                        


Date:
: 1934",https://www.loc.gov/item/2016890324/
[Cat],"[Cat]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 woodcut. | Source - Schreiber collection, folder I -45-98, p. 2.
                        
                    
                

            
        
        


Date:
: 1569",https://www.loc.gov/item/2018662113/
[Cat],"[Cat]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 woodcut. | Source - Schreiber collection, folder I-45-98, p.4.
                        
                    
                

            
        
        


Date:
: 1569",https://www.loc.gov/item/2018662115/
Cat,"Cat
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : col. etching ; 35.3 x 25.3 cm.
                        
                    
                

            
        
        


Contributor:

                        Goldstein, Milton
                        


Date:
: 1951",https://www.loc.gov/item/2003665736/
"Dandie; the tale of a yellow cat,","Dandie; the tale of a yellow cat,
                
            
        

        
        
        


        
            

                
                    
                        
                          Also available in digital form.
                        
                    
                

            
        
        


Contributor:

                        Hungerford, Florence
                        


Date:
: 1924


Resource:
 - 134 pages",https://www.loc.gov/item/25009935/
"The cat, a guide to the classification and varieties of cats and a short treaties upon their care, diseases, and treatment,","The cat, a guide to the classification and varieties of cats and a short treaties upon their care, diseases, and treatment,
                
            
        

        
        
        


        
            

                
                    
                        
                          Also available in digital form.
                        
                    
                

            
        
        


Contributor:

                        Huidekoper, Rush Shippen
                        


Date:
: 1895


Resource:
 - 170 pages",https://www.loc.gov/item/agr03000916/
"Everybody's cat book; containing chapters on ""colour breeding"", ""showing"", ""conditioning"", ""judging"", ""diseases and their treatment"", ""how to raise and treat the show and pet cat"", and many valuable prescriptions,","Everybody's cat book; containing chapters on ""colour breeding"", ""showing"", ""conditioning"", ""judging"", ""diseases and their treatment"", ""how to raise and treat the show and pet cat"", and many valuable prescriptions,
                
            
        

        
        
        


        
            

                
                    
                        
                          Also available in digital form.
                        
                    
                

            
        
        


Contributor:

                        Champion, Dorothy Bevill
                        


Date:
: 1909


Resource:
 - 162 pages",https://www.loc.gov/item/10002159/
"... The domestic cat; bird killer, mouser and destroyer of wild life; means of utilizing and controlling it.","... The domestic cat; bird killer, mouser and destroyer of wild life; means of utilizing and controlling it.
                
            
        

        
        
        


        
            

                
                    
                        
                          Also available in digital form.
                        
                    
                

            
        
        


Contributor:

                        Forbush, Edward Howe
                        


Date:
: 1916


Resource:
 - 146 pages",https://www.loc.gov/item/agr16000378/
"Pussy and her language,","Pussy and her language,
                
            
        

        
        
        


        
            

                
                    
                        
                          Also available in digital form.
                        
                    
                

            
        
        


Contributor:

                        Grimaldi, Alphonse Leon - Clark, Marvin R.
                        


Date:
: 1895


Resource:
 - 142 pages",https://www.loc.gov/item/04029271/
John B. Moisant,"John B. Moisant
                
            
        

        
        
        


        
            

                
                    
                        
                          1 photographic print. | Photograph shows aviator John B. Moisant (1868-1910), probably with his feline frequent flying companion, Mademoiselle Fifi. (Source: Flickr Commons project, 2019)
                        
                    
                

            
        
        


Date:
: 1911",https://www.loc.gov/item/2004671743/
The nomad of the nine lives,"The nomad of the nine lives
                
            
        

        
        
        


        
            

                
                    
                        
                          Also available in digital form on the Library of Congress Web site.
                        
                    
                

            
        
        


Contributor:

                        Friebe, A. Frances (Abby Frances) - Atwood, Clara R.
                        


Date:
: 1913",https://www.loc.gov/item/14000113/
Cat show,"Cat show
                
            
        

        
        
        


        
            

                
                    
                        
                          28 photographic prints (contact sheets). | Photographs of cats, women, and a few men and children participating in the Garden State Cat Club's 15th annual show, held December 1-2, 1953, at the Wideaway Hall in Newark, N.J., for more than 300 cats from the United States, Canada, and Europe. Includes owners grooming cats; judges examining cats; owners holding cats with award ribbons; and people...
                        
                    
                

            
        
        


Contributor:

                        Brooks, Charlotte
                        


Date:
: 1953",https://www.loc.gov/item/2016721953/
The Cat,"The Cat
                
            
        

        
        
        


        
            

                
                    
                        
                          1 photomechanical print : photogravure.
                        
                    
                

            
        
        


Contributor:

                        Eugene, Frank
                        


Date:
: 1916",https://www.loc.gov/item/90710537/
[A cat],"[A cat]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 drawing : pencil.
                        
                    
                

            
        
        


Contributor:

                        Stephens, Alice Barber
                        


Date:
: 1870",https://www.loc.gov/item/2010718352/
Domestic cat,"Domestic cat
                
            
        

        
        
        


        
            

                
                    
                        
                          1 drawing : ink ; 6.1 x 9 (image), 13.7 x 19.2 cm (sheet) | Drawing shows a Japanese Bobtail cat, full-length, standing, facing left.
                        
                    
                

            
        
        


Date:
: 1878",https://www.loc.gov/item/2009630098/
[Two cats],"[Two cats]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print (poster) : color.
                        
                    
                

            
        
        


Contributor:

                        Steinlen, Théophile Alexandre
                        


Date:
: 1894",https://www.loc.gov/item/94509814/
Black cat,"Black cat
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : cardboard cut-out with orange tinting ; irregular sheet 28 x 25 cm.
                        
                    
                

            
        
        


Contributor:

                        American Merri-Lei Corporation
                        


Date:
: 1952",https://www.loc.gov/item/2017658972/
[Domestic cat],"[Domestic cat]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 drawing : ink ; 6.1 x 9.2 (image), 7.8 x 11.2 cm (sheet)
                        
                    
                

            
        
        


Date:
: 1878",https://www.loc.gov/item/2009630118/
"""Nervous Cats""","""Nervous Cats""
                
            
        

        
        
        


        
            

                
                    
                        
                          1 drawing.
                        
                    
                

            
        
        


Contributor:

                        Block, Herbert
                        


Date:
: 1947",https://www.loc.gov/item/2012631796/
Fat cat,"Fat cat
                
            
        

        
        
        


        
            

                
                    
                        
                          1 drawing.
                        
                    
                

            
        
        


Contributor:

                        Block, Herbert
                        


Date:
: 1946",https://www.loc.gov/item/2012633951/
"Poem 061:
        

        
            
                
                    
                    Sister Cat","Poem 061:
        

        
            
                
                    
                    Sister Cat
                    
                
            
        

        
        
        





Contributor:

                        Mayes, Frances",https://www.loc.gov/item/poetry-180-061/sister-cat/
"Poem 116:
        

        
            
                
                    
                    Cat Scat","Poem 116:
        

        
            
                
                    
                    Cat Scat
                    
                
            
        

        
        
        





Contributor:

                        Grennan, Eamon",https://www.loc.gov/item/poetry-180-116/cat-scat/
Nashville Cats!,"Nashville Cats!
                    
                
            
        

        
        
        


        
            

                
                    
                        
                          According to the song “Nashville Cats” by the Lovin’ Spoonful, there are “thirteen-hundred and fifty-two guitar pickers in Nashville.”  I wouldn’t question that number, but in fact I suspect it has increased dramatically since that song debuted in 1966. As my colleague Lindsay Conway wrote about in her blog post Music City 101:  NLS Heads […]
                        
                    
                

            
        
        


Contributor:

                        Dell Jenkins, Mary
                        


Date:
: 2018-04-05",https://blogs.loc.gov/nls-music-notes/2018/04/nashville-cats/
"Schrödinger's cat
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available","Schrödinger's cat
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available
            



Contributor:

                        Small Press Expo Collection (Library of Congress) - Wong, Ken
                        


Date:
: 2009",//lccn.loc.gov/2016218557
"""Cat"" Hat","""Cat"" Hat
                
            
        

        
        
        



Contributor:

                        Harrell, Alfred
                        


Date:
: 1980-10",https://www.loc.gov/item/ncr002272/
Cat song,"Cat song
                
            
        

        
        
        


        
            

                
                    
                        
                          sheet music | 1 score | Sheet Music (Form).
                        
                    
                

            
        
        


Contributor:

                        Pugsley, L. E. - J. C. Groene & Co.
                        


Date:
: 1891",https://www.loc.gov/item/ihas.100008567/
Cat song,"Cat song
                
            
        

        
        
        


        
            

                
                    
                        
                          sheet music | 1 score | Sheet Music (Form).
                        
                    
                

            
        
        


Contributor:

                        Williams, Gus - T. B. Harms & Co.
                        


Date:
: 1873",https://www.loc.gov/item/ihas.100009959/
Whose Cat,"Whose Cat
                
            
        

        
        
        


        
            

                
                    
                        
                          Photographic Prints. 5 photographs: b&w, 8 in. x 10 in. | From Federal Theatre Project Collection (Production Records, Photographic Prints File, 1934-1939). Collections of over 23,000 black and white photographs, grouped into nine subseries, documenting over 1,000 FTP productions in 67 cities in 27 states. Also included are portraits of actors, actresses, and well-known figures of the day, as well as prints of audiences,...",https://www.loc.gov/item/musftpphotoprints.200223581/
Cat family,"Cat family
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print.
                        
                    
                

            
        
        


Date:
: 1870",https://www.loc.gov/item/2003689307/
"""Naughty cat!""","""Naughty cat!""
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : lithograph.
                        
                    
                

            
        
        


Contributor:

                        Currier & Ives
                        


Date:
: 1874",https://www.loc.gov/item/2002710641/
Emmons cat,"Emmons cat
                
            
        

        
        
        


        
            

                
                    
                        
                          1 negative : glass ; 5 x 7 in.
                        
                    
                

            
        
        


Contributor:

                        C.M. Bell (Firm : Washington, D.C.)
                        


Date:
: 1894",https://www.loc.gov/item/2016694116/
Emmons cat,"Emmons cat
                
            
        

        
        
        


        
            

                
                    
                        
                          1 negative : glass ; 5 x 7 in.
                        
                    
                

            
        
        


Contributor:

                        C.M. Bell (Firm : Washington, D.C.)
                        


Date:
: 1894",https://www.loc.gov/item/2016694117/
Emmons cat,"Emmons cat
                
            
        

        
        
        


        
            

                
                    
                        
                          1 negative : glass ; 5 x 7 in.
                        
                    
                

            
        
        


Contributor:

                        C.M. Bell (Firm : Washington, D.C.)
                        


Date:
: 1894",https://www.loc.gov/item/2016694119/
Emmons [cat],"Emmons [cat]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 negative : glass ; 5 x 7 in.
                        
                    
                

            
        
        


Contributor:

                        C.M. Bell (Firm : Washington, D.C.)
                        


Date:
: 1894",https://www.loc.gov/item/2016694121/
Miscellaneous [cat],"Miscellaneous [cat]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 negative : glass ; 5 x 7 in.
                        
                    
                

            
        
        


Contributor:

                        C.M. Bell (Firm : Washington, D.C.)
                        


Date:
: 1873",https://www.loc.gov/item/2016712990/
Miscellaneous [cat],"Miscellaneous [cat]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 negative : glass ; 5 x 7 in.
                        
                    
                

            
        
        


Contributor:

                        C.M. Bell (Firm : Washington, D.C.)
                        


Date:
: 1873",https://www.loc.gov/item/2016712994/
Miscellaneous [cat],"Miscellaneous [cat]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 negative : glass ; 5 x 7 in.
                        
                    
                

            
        
        


Contributor:

                        C.M. Bell (Firm : Washington, D.C.)
                        


Date:
: 1873",https://www.loc.gov/item/2016712995/
Pussy cats,"Pussy cats
                
            
        

        
        
        


        
            

                
                    
                        
                          Notated Music. From: Airs and graces. Staff notation. (Language).
                        
                    
                

            
        
        


Contributor:

                        Monckton, Lionel
                        


Date:
: 1917",https://www.loc.gov/item/2016732576/
Calamity cat,"Calamity cat
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : etching, aquatint, and mezzotint ; 20 x 13 cm.
                        
                    
                

            
        
        


Contributor:

                        College Women's Association of Japan - Yoneoka, Setsuko
                        


Date:
: 2004",https://www.loc.gov/item/2006691519/
Cat's cradle,"Cat's cradle
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : serigraph, col.
                        
                    
                

            
        
        


Contributor:

                        Shahn, Ben
                        


Date:
: 1959",https://www.loc.gov/item/2002719209/
Cat song,"Cat song
                
            
        

        
        
        


        
            

                
                    
                        
                          Notated Music. From: The Wager, or, The masked ball : The Masked ball. Staff notation. (Language).
                        
                    
                

            
        
        


Contributor:

                        Barnard, Charles - Mollenhauer, Edward
                        


Date:
: 1879",https://www.loc.gov/item/2016740302/
The cat,"The cat
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : col. lithograph ; 33 x 55 cm.
                        
                    
                

            
        
        


Contributor:

                        Barnet, Will
                        


Date:
: 1956",https://www.loc.gov/item/2002737046/
Witches' cat,"Witches' cat
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : col. woodcut ; 38.3 x 29.5 cm.
                        
                    
                

            
        
        


Contributor:

                        Eichenberg, Fritz
                        


Date:
: 1951",https://www.loc.gov/item/2003664268/
Emmons cat [woman and cat],"Emmons cat [woman and cat]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 negative : glass ; 5 x 7 in.
                        
                    
                

            
        
        


Contributor:

                        C.M. Bell (Firm : Washington, D.C.)
                        


Date:
: 1894",https://www.loc.gov/item/2016694120/
"Jeremiah the cat,","Jeremiah the cat,
                
            
        

        
        
        


        
            

                
                    
                        
                          Also available in digital form.
                        
                    
                

            
        
        


Contributor:

                        Culp, William Maurice
                        


Date:
: 1939


Resource:
 - 104 pages",https://www.loc.gov/item/39017645/
"Sooty, an aristocratic cat,","Sooty, an aristocratic cat,
                
            
        

        
        
        


        
            

                
                    
                        
                          Illustrated lining-papers. ""Lithographed."" ""Junior press books."" Also available in digital form.
                        
                    
                

            
        
        


Contributor:

                        Hurcum, Ambrosina
                        


Date:
: 1935


Resource:
 - 40 pages",https://www.loc.gov/item/35016050/
Cat tales in verse.,"Cat tales in verse.
                
            
        

        
        
        


        
            

                
                    
                        
                          Also available in digital form.
                        
                    
                

            
        
        


Contributor:

                        Walker, Elliot
                        


Date:
: 1900


Resource:
 - 60 pages",https://www.loc.gov/item/01029245/
Yard of cats,"Yard of cats
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : chromolithograph ; sheet 92 x 122 cm. or less.
                        
                    
                

            
        
        


Date:
: 1895",https://www.loc.gov/item/2018757354/
Yard of cats,"Yard of cats
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : chromolithograph ; sheet 92 x 122 cm. or less.
                        
                    
                

            
        
        


Date:
: 1893",https://www.loc.gov/item/2018694858/
The cat - Felis domesticus,"The cat - Felis domesticus
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : color lithograph ; sheet 27.9 x 35.6 cm. | Print shows a left side view of a domestic cat, full-length, lying down, faceing front, with one paw resting on a ball of yarn; also shows ""eye in sunlilght"" and ""eye at night"", ""teeth of cat family"", ""tongue of cat family"", ""claw drawn back"", and ""claw thrust out"".
                        
                    
                

            
        
        


Contributor:

                        L. Prang & Co.
                        


Date:
: 1872",https://www.loc.gov/item/2017660723/
The black cat,"The black cat
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : engraving. | Black cat on head of woman.
                        
                    
                

            
        
        


Contributor:

                        Beardsley, Aubrey
                        


Date:
: 1901",https://www.loc.gov/item/93509663/
[Mother cat and kittens],"[Mother cat and kittens]
                
            
        

        
        
        


        
            

                
                    
                        
                          1 print : wood engraving ; 5.2 x 7.2 cm (image), 10.4 x 12.9 cm (sheet) | Print shows a cat with three kittens.
                        
                    
                

            
        
        


Contributor:

                        Anderson, Alexander
                        


Date:
: 1810",https://www.loc.gov/item/2013646722/
